Age_Group,min,1%,10%,30%,50%,70%,90%,max
10s,-3.799716204956484,-3.6833333957958736,-3.440190653317284,-2.845248844280792,-2.2261409665860725,-1.7804955124656694,-1.266347108953042,0.07446251109614832
20s,-3.799716204956484,-3.080745239953184,-2.2180836922775624,-1.4991127272742626,-1.266347108953042,-1.0820966337190447,-0.6445084539071517,1.7001189002457575
30s,-2.759539869301901,-2.5287766208923865,-1.7804955124656694,-1.198479442879655,-1.000392568644018,-0.7608912630677619,-0.019205814952249437,1.5045326932774639
40s,-2.6431570601412906,-1.8615779030485058,-1.024055540828233,-0.25758779803903664,0.07664891374395391,0.710420558980081,1.7938370000175374,4.47892022402493
50s,-2.0213184050954003,-1.4844555184705603,-0.42156469970376503,0.5820607538369659,1.1269570441826624,1.9409915665988702,2.888628882695542,5.161924586866053
60s+,-1.0674394249153423,-1.0194102046957596,0.38648130094843436,1.3617117556254024,1.866910500343669,2.8615866083624226,3.827079617993217,5.4268333233848525
